iter	Passed	Remaining
482	596	638
483	597	636
484	598	635
485	598	633
486	599	631
487	600	630
488	601	628
489	602	626
490	603	625
491	604	623
492	605	622
493	606	621
494	607	620
495	608	618
496	609	616
497	610	615
498	611	613
499	612	612
500	613	610
501	614	609
502	614	607
503	615	606
504	616	604
505	617	602
506	618	601
507	619	599
508	620	598
509	621	597
510	622	596
511	623	594
512	624	593
513	625	591
514	626	590
515	627	588
516	628	587
517	629	585
518	630	584
519	631	582
520	632	581
521	633	579
522	634	578
523	635	576
524	636	576
525	637	574
526	638	573
527	639	571
528	640	570
529	641	568
530	642	567
531	643	565
532	644	564
533	645	563
534	646	561
535	647	560
536	648	558
537	649	557
538	649	555
539	650	554
540	651	552
541	652	551
542	653	549
543	654	548
544	655	546
545	655	545
546	656	543
547	657	542
548	658	540
549	659	539
550	660	537
551	661	536
552	661	535
553	662	533
554	663	532
555	664	530
556	666	529
557	667	528
558	668	527
559	668	525
560	669	524
561	670	522
562	671	521
563	672	519
564	673	518
565	674	517
566	675	515
567	676	514
568	677	512
569	678	511
570	678	510
571	679	508
572	680	507
573	681	505
574	682	504
575	683	502
576	683	501
577	684	500
578	685	498
579	686	497
580	687	495
581	688	494
582	689	492
583	690	491
584	691	490
585	691	488
586	692	487
587	693	486
588	694	484
589	695	483
590	696	481
591	697	480
592	698	479
593	699	478
594	700	476
595	701	475
596	702	474
597	703	472
598	704	471
599	704	469
600	705	468
601	706	467
602	707	465
603	708	464
604	709	463
605	710	461
606	711	460
607	712	459
608	713	457
609	713	456
610	714	455
611	715	453
612	716	452
613	717	451
614	718	449
615	719	448
616	720	447
617	721	445
618	721	444
619	722	442
620	723	441
621	724	440
622	725	438
623	726	437
624	726	436
625	727	434
626	728	433
627	729	431
628	730	430
629	731	429
630	732	428
631	733	427
632	734	425
633	735	424
634	736	423
635	737	421
636	738	420
637	738	419
638	740	418
639	741	416
640	742	415
641	742	414
642	743	412
643	744	411
644	745	410
645	746	408
646	747	407
647	747	406
648	748	404
649	749	403
650	750	402
651	751	401
652	752	399
653	753	398
654	753	397
655	754	395
656	755	394
657	756	393
658	757	392
659	758	390
660	759	389
661	760	388
662	761	387
663	762	385
664	763	384
665	764	383
666	765	381
667	765	380
668	766	379
669	767	378
670	768	376
671	769	375
672	770	374
673	771	372
674	771	371
675	772	370
676	773	369
677	774	367
678	775	366
679	776	365
680	777	364
681	778	362
682	779	361
683	779	360
684	780	358
685	781	357
686	782	356
687	783	355
688	784	353
689	784	352
690	786	351
691	787	350
692	787	349
693	788	347
694	789	346
695	790	345
696	791	344
697	792	342
698	793	341
699	794	340
700	795	339
701	795	337
702	796	336
703	797	335
704	798	334
705	799	332
706	800	331
707	800	330
708	801	329
709	802	327
710	803	326
711	804	325
712	805	324
713	806	322
714	806	321
715	807	320
716	808	319
717	809	317
718	810	316
719	811	315
720	812	314
721	812	313
722	813	311
723	816	311
724	817	309
725	817	308
726	818	307
727	819	306
728	820	305
729	821	303
730	822	302
731	823	301
732	824	300
733	825	298
734	825	297
735	826	296
736	827	295
737	828	294
738	832	293
739	833	292
740	834	291
741	834	290
742	835	289
743	836	287
744	837	286
745	838	285
746	839	284
747	840	283
748	841	281
749	841	280
750	842	279
751	843	278
752	844	276
753	845	275
754	846	274
755	846	273
756	847	272
757	848	271
758	849	269
759	850	268
760	851	267
761	852	266
762	853	265
763	854	263
764	854	262
765	855	261
766	856	260
767	857	259
768	858	257
769	859	256
770	861	255
771	862	254
772	863	253
773	863	252
774	864	251
775	866	249
776	866	248
777	868	247
778	869	246
779	870	245
780	871	244
781	872	243
782	873	242
783	874	240
784	876	240
785	877	239
786	879	237
787	880	236
788	881	235
789	882	234
790	883	233
791	884	232
792	885	231
793	886	229
794	886	228
795	887	227
796	888	226
797	889	225
798	890	223
799	891	222
800	892	221
801	892	220
802	893	219
803	894	218
804	895	216
805	896	215
806	897	214
807	898	213
808	899	212
809	900	211
810	900	209
811	902	209
812	903	207
813	904	206
814	905	205
815	906	204
816	907	203
817	908	202
818	909	200
819	910	199
820	910	198
821	911	197
822	912	196
823	913	195
824	914	194
825	915	192
826	916	191
827	917	190
828	918	189
829	919	188
830	919	187
831	920	185
832	921	184
833	922	183
834	923	182
835	924	181
836	925	180
837	926	179
838	927	177
839	928	176
840	928	175
841	929	174
842	930	173
843	932	172
844	933	171
845	934	170
846	935	168
847	936	167
848	937	166
849	938	165
850	939	164
851	939	163
852	940	162
853	941	160
854	942	159
855	943	158
856	944	157
857	945	156
858	946	155
859	948	154
860	949	153
861	950	152
862	951	151
863	952	149
864	953	148
865	954	147
866	955	146
867	956	145
868	957	144
869	958	143
870	959	142
871	960	140
872	961	139
873	962	138
874	963	137
875	964	136
876	965	135
877	966	134
878	967	133
879	968	132
880	969	130
881	970	129
882	971	128
883	972	127
884	973	126
885	974	125
886	975	124
887	978	123
888	979	122
889	980	121
890	981	120
891	982	119
892	983	117
893	984	116
894	985	115
895	986	114
896	987	113
897	988	112
898	989	111
899	990	110
900	991	108
901	995	108
902	996	107
903	997	105
904	998	104
905	999	103
906	1000	102
907	1001	101
908	1002	100
909	1003	99
910	1004	98
911	1005	97
912	1006	95
913	1007	94
914	1008	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1013	88
920	1014	87
921	1015	85
922	1016	84
923	1016	83
924	1017	82
925	1018	81
926	1019	80
927	1020	79
928	1021	78
929	1022	76
930	1023	75
931	1023	74
932	1024	73
933	1026	72
934	1026	71
935	1027	70
936	1028	69
937	1029	68
938	1030	66
939	1031	65
940	1032	64
941	1033	63
942	1034	62
943	1034	61
944	1035	60
945	1036	59
946	1037	58
947	1038	56
948	1039	55
949	1039	54
950	1040	53
951	1041	52
952	1042	51
953	1043	50
954	1044	49
955	1045	48
956	1045	46
957	1046	45
958	1047	44
959	1048	43
960	1049	42
961	1050	41
962	1051	40
963	1052	39
964	1052	38
965	1054	37
966	1055	36
967	1055	34
968	1056	33
969	1057	32
970	1058	31
971	1059	30
972	1060	29
973	1061	28
974	1061	27
975	1062	26
976	1063	25
977	1064	23
978	1065	22
979	1066	21
980	1067	20
981	1068	19
982	1070	18
983	1070	17
984	1071	16
985	1072	15
986	1073	14
987	1074	13
988	1075	11
989	1076	10
990	1076	9
991	1077	8
992	1078	7
993	1079	6
994	1080	5
995	1081	4
996	1082	3
997	1083	2
998	1083	1
999	1084	0
